Revisions,المراجعات,
Search the docs,ابحث في الوثائق,
Heading 2,العنوان 2,
Heading 3,العنوان 3,
Heading 4,العنوان 4,
Heading 5,العنوان 5,
Heading 6,العنوان 6,
Bold,عريض,
Italic,مائل,
Bullet List,قائمة نقطية,
Number List,قائمة مرقمة,
Align Left,محاذاة لليسار,
Align Center,محاذاة للوسط,
Align Right,محاذاة لليمين,
Set Link,تعيين رابط,
Add Link,إضافة رابط,
Blockquote,اقتباس,
Code,كود,
Horizontal Rule,خط أفقي,
Insert Table,إدراج جدول,
Add Column Before,إضافة عمود قبله,
Add Column After,إضافة عمود بعده,
Delete Column,حذف العمود,
Add Row Before,إضافة صف قبله,
Add Row After,إضافة صف بعده,
Delete Row,حذف الصف,
Toggle Header Column,تبديل عمود الترويسة,
Toggle Header Row,تبديل صف الترويسة,
Toggle Header Cell,تبديل خلية الترويسة,
Delete Table,حذف الجدول,
Edit Sidebar,تحرير الشريط الجانبي,
View Sidebar,عرض الشريط الجانبي,
Changes to sidebar will be automatically saved,ستُحفظ التغييرات على الشريط الجانبي تلقائياً,
New Wiki Page in the group {0},صفحة ويكيبيديا جديدة في المجموعة {0},
Toggle navigation,تبديل التنقل,
Go to home page,الانتقال إلى الصفحة الرئيسية,
Wiki Option Button,زر خيارات الويكي,
On this page,في هذه الصفحة,
edited,حُرِّر,
Previous Page,الصفحة السابقة,
Next Page,الصفحة التالية,
Delete Wiki Page,حذف صفحة الويكي,
Are you sure you want to <b>delete</b> the Wiki Page <b>{0}</b>?,هل أنت متأكد من <b>حذف</b> صفحة الويكي <b>{0}</b>؟,
Wiki Page <b>{0}</b> deleted,تم حذف صفحة الويكي <b>{0}</b>,
No results found,لا توجد نتائج,
New Wiki Page,صفحة ويكيبيديا جديدة,
last updated {0},آخر تحديث {0},
{0} edited {1},قام {0} بالتعديل {1},
Copy Code,نسخ الكود,
What's the Wiki title?,ما هو عنوان الويكي؟,
Created,تم الإنشاء,
Edited,تم التعديل,
Open Draft,فتح المسودة,
Open Contribution,فتح المساهمة,
No Drafts Made,لا توجد مسودات,
No Contributions Made,لا توجد مساهمات,
My Contributions,مساهماتي,
My Drafts,مسوداتي,
Toggle Dropdown,تبديل القائمة المنسدلة,
"You are not permitted to approve, Please wait for a moderator to respond","غير مسموح لك بالموافقة، يرجى انتظار رد الوسيط",
You are not permitted to delete a Wiki Page,غير مسموح لك بحذف صفحة الويكي,
The Wiki Page you are trying to delete doesn't exist,صفحة الويكي التي تحاول حذفها غير موجودة,
Add a new page,إضافة صفحة جديدة,
Contributions ,مساهمات ,
My Drafts ,مسوداتي ,
Allow Editing,السماح بالتعديل,
Editing is not allowed,التعديل غير مسموح به,
"When enabled, users with write permission can edit wiki pages and the sidebar.<br>When disabled, the <b>Edit</b> button and <b>Edit Sidebar</b> are hidden and saving is blocked.","عند التفعيل، يمكن للمستخدمين الذين يملكون صلاحية الكتابة تعديل صفحات الويكي والشريط الجانبي.<br>عند الإيقاف، يتم إخفاء زر <b>التعديل</b> وزر <b>تحرير الشريط الجانبي</b> ويتم منع الحفظ.",
